Fixer Wert Eingang-A [1] (Wärme HT,NT, Strom und Kälte.Simulation.CO2-Preis.CO2-Preis | Variablen);Fixer Wert Eingang-A [1] (Wärme HT,NT, Strom und Kälte.Simulation.Lastgang.Integral Strombedarf | Variablen);Fixer Wert Eingang-A [1] (Wärme HT,NT, Strom und Kälte.Simulation.Lastgang.Anteil Commercial | Variablen);Arbeitspreis  [EUR/MWh] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.Stromtarif | Eingabedaten);Mittlerer Brennstoffpreis (Hi/Hu)  [EUR/MWh] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.Wasserstofftarif | Eingabedaten);Mittlerer Brennstoffpreis (Hi/Hu)  [EUR/MWh] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.Erdgastarif | Eingabedaten);Mittlerer Brennstoffpreis (Hi/Hu)  [EUR/MWh] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.Biogastarif | Eingabedaten);Investitionskosten (Periode 0) [TEUR] (Variantenvergleich | Referenzfall);Cashflow [TEUR/a] (Variantenvergleich | Referenzfall);Summe CO2-Emissionen [t/a] (Variantenvergleich | Referenzfall);Abgegebene elektrische Leistung [kW] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.Stromversorger | Ausgabedaten);Aufgenommene elektrische Leistung [kW] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.Stromversorger | Ausgabedaten);Optimale thermische Nennleistung [kW] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.BHKW | Ausgabedaten);Optimale thermische Nennleistung [kW] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.Gaskessel | Ausgabedaten);Optimale thermische Nennleistung [kW] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.PowerToHeat | Ausgabedaten);Optimale thermische Nennleistung [kW] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.Luft-Wärmepumpe | Ausgabedaten);Installierte Anlagenpeakleistung (STC) [kW] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.Photovoltaik | Ausgabedaten);Optimale Anschlussleistung [kW] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.Fernwärmeversorger | Ausgabedaten);Optimale Speicherkapazität [kWh] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.Brennstoffspeicher | Ausgabedaten);Optimale Kältenennleistung [kW] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.KKM | Ausgabedaten);Optimale thermische Nennleistung [kW] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.PEMFC Brennstoffzelle | Ausgabedaten);Abwärmeleistung im Nennbetrieb [kW] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.Power-to-Gas | Ausgabedaten);Optimale thermische Nennleistung [kW] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.SOFC Brennstoffzelle | Ausgabedaten);Optimale Kollektorfläche [m^2] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.Solarkollektor | Ausgabedaten);Optimale thermische Nennleistung [kW] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.Sole-Wärmepumpe | Ausgabedaten);Optimale Speicherkapazität [kWh] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.Stromspeicher | Ausgabedaten);Optimale Speicherkapazität [kWh] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.Wärmespeicher | Ausgabedaten);Gap [%] (Wärme HT,NT, Strom und Kälte.Simulation | Verlaufsinformationen);Laufzeit [ms] (Wärme HT,NT, Strom und Kälte.Simulation | Verlaufsinformationen);Work Units [] (Wärme HT,NT, Strom und Kälte.Simulation | Verlaufsinformationen);Zielfunktionswert der Betriebskosten [TEUR/a] (Wärme HT,NT, Strom und Kälte.Simulation | Verlaufsinformationen);Abgegebene Wärmeleistung [kW] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.Fernwärmeversorger | Ausgabedaten);Abgegebene Wärmeleistung [kW] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.Gaskessel | Ausgabedaten);Abgegebene Wärmeleistung [kW] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.Luft-Wärmepumpe | Ausgabedaten);Abgegebene Wärmeleistung [kW] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.PowerToHeat | Ausgabedaten);Abgegebene Wärmeleistung [kW] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.Solarkollektor | Ausgabedaten);Abgegebene Wärmeleistung [kW] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.Sole-Wärmepumpe | Ausgabedaten);Abgegebene Wärmeleistung [kW] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.Wärmeabgabe_an_Warmwasser | Ausgabedaten);Entladeleistung [kW] (Wärme HT,NT, Strom und Kälte.Simulation.Schema.Wärmespeicher | Ausgabedaten)
50;900;0,1;400;600;150;280;250512,3937469088;-302,833513243771;234,1077684428621;49,63867811981892;3,438366259449731;121,9928510241751;0;24,53074492018164;0;330;81,19765132604003;0;332,2694503957626;6,581024311555248;0;0;1;0;4,466729924241641;491,8342088556542;0,02717798241777272;259,5327734132378;0,150237292422491;302,8335309260764;1,519905834269924;0;0;2,781158203545965;0,05954086550880017;0;16,96916796761523;11,14980306466966
50;900;0,9;208,9;300;84;150;250502,1686659546;-162,704367971315;238,2098508379195;46,05303872643826;3,49202173511047;114,0351668579049;31,39455630118614;18,99146915924567;0;330;58,32024977088726;0;332,2694503957626;4,979805181176225;0;0;1;0;0;475,0637316380423;0,02380953848568309;257,1556267009126;0,1479773375889509;162,7043787470431;0,003290157133361295;1,764872646688078;0;0,2838748172095722;0,05954086550880017;0;16,9741175732743;11,23311301029178
50;900;0,9;208,9;300;150;280;250587,3864499154;-169,2174696091471;110,9841880876073;90,09473687879969;1,823596050162938;0;0;0;117,5768275810182;330;109,0479709586047;0;332,2694503957626;0;0;0;1;4,934019288678162;0;417,1218521679387;0;140,1871564954343;0,1074828823310627;169,2174699469416;0,7563903906622598;0;54,04982904430006;0;0,05954086550880017;3,282107416368687;19,51650039207392;5,482209259677786
50;900;0,9;400;600;84;150;250556,0760518407;-204,9090554756405;458,3278799014976;4,306436714283935;3,254989295807317;249,9549561594083;0;52,63161701135358;0;330;0;0;332,2694503957626;16,67702375344876;0;0;0;0;0;528,1738976818341;0,05020393056114035;228,7200758219204;0,1357038385695027;204,9090814790282;0;0;0;0,5334003370411448;0;0;19,3875570351083;24,18839636721478
50;900;0,9;400;600;150;280;250497,5722512688;-293,6736219262721;235,9888354171266;46,0943057077066;2,083990135222517;126,5346363865407;0;23,33432552335136;0;330;77,85228536055715;0;332,2694503957626;1,961232778306589;0;0;1;0;0;390,9498701529781;0,02787325979441473;262,6039984703213;0,1504580387885733;293,673640068375;1,048929649607342;0;0;1,615211964612756;0,05954086550880017;0;16,97636527748881;10,94358714369896
350;300;0,1;208,9;300;84;150;250416,4595077763;-162,9190094607103;64,58676147281446;41,78959666111795;0;0;0;0;0;0;200,1860520534028;0;332,2694503957626;36,41927915989621;0;25,09748473088053;0;8,541316917387579;0;0;0;157,9630418607325;0,1311664087552307;162,9190105610921;52,63025378884816;0;0;0;0;5,850045531754034;21,75089435572312;0
350;300;0,1;208,9;300;150;280;250415,8307049234;-163,0118818220922;64,67566445674089;41,76663372021984;0;0;0;0;0;0;200,2465149640946;0;332,2694503957626;36,55312182713496;0;24,96391128739747;0;8,370507789242323;0;0;0;159,1804908675792;0,1311715247499722;163,0118829218781;52,73368806364315;0;0;0;0;5,746422307957471;21,67348313466028;0
350;300;0,1;400;600;84;150;250457,5907003336;-110,060255413714;154,1739652918922;4,346643539686119;9,857449302490433;93,16292557984821;0;31,61307590783548;28,12995406807577;262,3665506643883;74,8152917146333;0;332,2694503957626;0;0;0;1;0;0;406,6519192216493;0,02942375258040355;219,0159586187205;0,1367506699186929;110,0602664966477;1,581843543048937;0;13,62840896782455;1,54958599591742;0,05954086550880017;0;17,04337556630928;9,880696294864467
350;300;0,1;400;600;150;280;250553,3453315429;-130,1781620053019;46,79162510153134;31,683934135316;12,03482555960309;0;0;49,25267195035698;64,34344867377793;330;110,9769854323256;0;332,2694503957626;0;0;0;1;14,1666354627759;0;744,1094087743218;0,003420484780549812;151,2202900684951;0,1098360700561289;130,1781628375593;10,74143205419277;0;39,54006347447973;3,761611093592605;0,05954086550880017;5,050878321489698;20,88960949389499;10,66795282861727
350;300;0,9;208,9;300;84;150;250533,3270286263;-70,94570846419187;57,65043033803342;33,57033558602475;7,912513788814143;2,079926274366051;0;0;108,5908017278684;282,4220088968698;117,0505192681689;0;332,2694503957626;0;0;0;1;0;0;482,1785296238075;5,499400133439929e-05;145,3531407305923;0,10506979404858;70,94570941171244;1,376222614217678;0;56,97132480323927;0;0,05954086550880017;0;16,96114857718084;9,380918482621595
350;300;0,9;208,9;300;150;280;250467,9258949972;-162,5972254189728;64,273198603327;41,72757634382118;0,008768392942827332;0;0;0;0;0;189,4530704406357;0;332,2694503957626;37,04399582530515;0;33,63212477179578;0;8,919836515958169;0;0;0;163,3474232876745;0,1308990888823955;162,5972265177082;52,38119932147686;0;0;0;0;6,083806204778127;21,92914586810536;0
350;300;0,9;400;600;84;150;250514,6418882225;-96,86507243593812;138,3271061390673;3,852440437501314;11,65108873349977;99,64571567508339;0;25,14305861838606;35,7172407539645;311,8231464553648;67,21523222299028;0;332,2694503957626;2,596779206538239;0;0;1;0;0;404,0275366956428;0,04541963863180316;264,9338348858486;0,1483250397072415;96,86508239203957;1,13927198525792;0;17,37167452910818;1,758313624738342;0,05954086550880017;0;16,96114857718084;10,39133110895787
